shipment_id,order_id,warehouse_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,shipping_cost,weight_lbs,status
7020,45847,3,DHL,1Z538AA493640232,2024-10-18 23:04:00,2024-10-20 23:04:00,,22.11,2.44,In Transit
7021,51700,5,FedEx,1Z550AA630542184,2023-08-23 10:20:00,2023-08-29 10:20:00,,19.23,15.95,In Transit
7022,12882,5,OnTrac,1Z483AA077792111,2024-02-14 05:01:00,2024-02-21 05:01:00,2024-02-24 05:01:00,6.96,3.51,Delivered
7023,42479,4,OnTrac,1Z813AA419980989,2024-05-02 09:09:00,2024-05-07 09:09:00,,4.81,5.5,In Transit
7024,38578,1,FedEx,1Z871AA851760335,2023-08-29 02:06:00,2023-08-31 02:06:00,,19.71,17.94,In Transit
7025,30860,4,OnTrac,1Z385AA743534409,2023-06-19 03:31:00,2023-06-26 03:31:00,2023-06-29 03:31:00,13.45,7.58,Delivered
7026,23569,1,DHL,1Z165AA846751561,2023-09-24 07:41:00,2023-09-30 07:41:00,2023-10-03 07:41:00,6.66,9.23,Delivered
7027,29357,5,DHL,1Z295AA390848251,2024-11-08 00:49:00,2024-11-11 00:49:00,2024-11-12 00:49:00,10.72,23.74,Delivered
7028,40365,2,DHL,1Z513AA936344861,2023-12-23 14:18:00,2023-12-30 14:18:00,2023-12-29 14:18:00,24.54,0.65,Delivered
7029,40438,5,UPS,1Z715AA511767883,2023-10-26 10:02:00,2023-11-01 10:02:00,2023-11-03 10:02:00,10.73,16.4,Delivered
7030,12803,4,UPS,1Z792AA273247431,2024-11-04 14:37:00,2024-11-08 14:37:00,2024-11-08 14:37:00,20.1,12.45,Delivered
7031,6696,1,USPS,1Z685AA348437617,2024-07-12 05:01:00,2024-07-15 05:01:00,2024-07-14 05:01:00,21.79,10.66,Delivered
7032,29291,2,USPS,1Z798AA845344049,2023-07-18 01:32:00,2023-07-25 01:32:00,2023-07-26 01:32:00,20.69,1.31,Delivered
7033,36486,1,UPS,1Z562AA735747276,2023-08-24 01:52:00,2023-08-28 01:52:00,2023-08-28 01:52:00,16.24,21.97,Delivered
7034,10647,4,OnTrac,1Z673AA720901849,2023-11-23 11:10:00,2023-11-25 11:10:00,2023-11-27 11:10:00,10.17,12.52,Delivered
7035,39346,4,FedEx,1Z347AA508706463,2024-09-11 07:47:00,2024-09-14 07:47:00,,12.19,24.08,Returned
7036,13941,3,UPS,1Z812AA904802982,2024-10-16 11:53:00,2024-10-20 11:53:00,2024-10-22 11:53:00,12.01,8.55,Delivered
7037,49946,4,USPS,1Z886AA763950713,2023-10-07 11:38:00,2023-10-10 11:38:00,,6.06,11.15,In Transit
7038,45732,1,FedEx,1Z032AA656869856,2024-09-25 06:28:00,2024-09-27 06:28:00,,11.66,12.6,In Transit
7039,45821,5,UPS,1Z603AA407886145,2024-11-15 06:25:00,2024-11-20 06:25:00,,10.57,12.16,In Transit
7040,8632,1,FedEx,1Z346AA230670022,2024-11-03 15:24:00,2024-11-09 15:24:00,,23.41,11.95,Returned
7041,47620,3,DHL,1Z528AA583780586,2024-11-29 08:29:00,2024-12-04 08:29:00,,21.13,14.39,In Transit
7042,30052,2,USPS,1Z433AA862496109,2024-01-17 09:21:00,2024-01-19 09:21:00,,13.83,13.63,Returned
7043,32197,5,OnTrac,1Z526AA713287848,2024-06-30 09:34:00,2024-07-02 09:34:00,,9.44,1.55,Returned
7044,26114,5,OnTrac,1Z389AA416456923,2024-10-13 21:01:00,2024-10-20 21:01:00,2024-10-22 21:01:00,12.96,22.78,Delivered
7045,35079,3,FedEx,1Z795AA794612964,2023-03-04 17:42:00,2023-03-08 17:42:00,,18.09,16.66,In Transit
7046,18999,2,UPS,1Z388AA347860850,2024-04-08 12:12:00,2024-04-11 12:12:00,2024-04-11 12:12:00,9.72,5.83,Delivered
7047,42564,5,OnTrac,1Z046AA131332387,2024-05-21 18:58:00,2024-05-26 18:58:00,,17.3,10.05,In Transit
7048,18511,3,FedEx,1Z991AA868197305,2023-02-05 17:58:00,2023-02-08 17:58:00,2023-02-07 17:58:00,24.82,18.76,Delivered
7049,27874,5,FedEx,1Z409AA193099282,2023-01-27 08:31:00,2023-01-31 08:31:00,2023-02-01 08:31:00,6.46,15.98,Delivered
7050,19223,3,FedEx,1Z437AA273497210,2024-10-07 05:38:00,2024-10-12 05:38:00,2024-10-14 05:38:00,9.38,13.29,Delivered
7051,14691,1,UPS,1Z179AA156755719,2023-11-23 00:15:00,2023-11-28 00:15:00,2023-11-29 00:15:00,12.34,12.96,Delivered
7052,9571,2,UPS,1Z985AA463566440,2024-10-05 20:49:00,2024-10-12 20:49:00,2024-10-15 20:49:00,22.54,22.53,Delivered
7053,46959,1,DHL,1Z716AA393305738,2023-11-05 11:06:00,2023-11-11 11:06:00,2023-11-14 11:06:00,7.15,18.08,Delivered
7054,25737,1,DHL,1Z523AA855923742,2023-12-05 11:35:00,2023-12-08 11:35:00,,7.62,4.8,Returned
7055,43520,4,FedEx,1Z265AA503215577,2024-11-05 13:03:00,2024-11-09 13:03:00,2024-11-12 13:03:00,4.85,1.44,Delivered
7056,20791,2,OnTrac,1Z077AA767103715,2023-06-06 03:04:00,2023-06-11 03:04:00,2023-06-14 03:04:00,18.43,13.4,Delivered
7057,38467,5,USPS,1Z815AA345514013,2024-07-22 03:55:00,2024-07-28 03:55:00,2024-07-28 03:55:00,24.03,1.8,Delivered
7058,28470,2,FedEx,1Z257AA618038822,2024-12-15 02:54:00,2024-12-18 02:54:00,2024-12-19 02:54:00,12.13,23.71,Delivered
7059,22553,5,OnTrac,1Z762AA426404624,2024-03-02 21:19:00,2024-03-05 21:19:00,2024-03-06 21:19:00,20.67,21.3,Delivered
7060,18381,2,OnTrac,1Z599AA311245680,2023-11-26 02:12:00,2023-11-28 02:12:00,2023-11-29 02:12:00,20.5,4.13,Delivered
7061,39779,2,USPS,1Z994AA833918370,2024-02-16 00:00:00,2024-02-20 00:00:00,,19.84,2.6,Returned
7062,24092,1,UPS,1Z369AA852604168,2024-11-24 15:20:00,2024-11-30 15:20:00,,17.09,3.43,In Transit
7063,25149,3,FedEx,1Z460AA986150190,2024-04-05 17:09:00,2024-04-07 17:09:00,2024-04-06 17:09:00,17.68,5.84,Delivered
7064,52650,2,DHL,1Z313AA217105573,2023-09-20 01:41:00,2023-09-22 01:41:00,,5.01,0.68,In Transit
7065,14151,5,FedEx,1Z451AA056755653,2023-11-03 14:47:00,2023-11-05 14:47:00,2023-11-08 14:47:00,15.24,2.95,Delivered
7066,10548,3,UPS,1Z804AA412177699,2023-05-11 13:53:00,2023-05-16 13:53:00,2023-05-17 13:53:00,7.73,18.8,Delivered
7067,52235,1,OnTrac,1Z965AA202438415,2024-04-22 00:53:00,2024-04-29 00:53:00,2024-04-28 00:53:00,24.76,24.17,Delivered
7068,22600,2,USPS,1Z283AA797757720,2024-04-03 16:25:00,2024-04-08 16:25:00,,24.24,6.46,Returned
7069,37827,2,DHL,1Z949AA684203350,2023-11-07 17:21:00,2023-11-09 17:21:00,,17.55,7.81,Returned
7070,51956,1,USPS,1Z816AA012572587,2023-08-09 23:23:00,2023-08-14 23:23:00,2023-08-15 23:23:00,8.03,4.11,Delivered
7071,32176,2,OnTrac,1Z925AA378246521,2024-07-25 23:20:00,2024-08-01 23:20:00,2024-07-31 23:20:00,7.07,4.63,Delivered
7072,43142,5,DHL,1Z825AA422956058,2024-12-17 17:22:00,2024-12-20 17:22:00,,24.09,5.33,In Transit
7073,5676,5,OnTrac,1Z223AA410251670,2024-12-06 15:26:00,2024-12-12 15:26:00,2024-12-15 15:26:00,8.76,3.52,Delivered
7074,35699,3,OnTrac,1Z499AA076685732,2023-04-05 01:54:00,2023-04-11 01:54:00,,16.87,4.46,In Transit
7075,35977,4,USPS,1Z632AA621715900,2023-11-05 18:00:00,2023-11-12 18:00:00,,7.33,12.16,Returned
7076,47998,1,FedEx,1Z068AA236226227,2023-12-09 20:46:00,2023-12-12 20:46:00,,7.89,5.55,In Transit
7077,43605,5,FedEx,1Z018AA093291526,2023-11-15 19:56:00,2023-11-20 19:56:00,2023-11-23 19:56:00,14.45,7.44,Delivered
7078,7506,1,OnTrac,1Z042AA552619484,2024-10-03 00:57:00,2024-10-07 00:57:00,2024-10-08 00:57:00,5.86,20.18,Delivered
7079,41246,5,DHL,1Z375AA047363667,2024-09-13 07:15:00,2024-09-17 07:15:00,,17.47,17.28,In Transit
7080,18492,2,DHL,1Z788AA339013388,2024-11-13 08:48:00,2024-11-20 08:48:00,2024-11-21 08:48:00,22.36,13.33,Delivered
7081,40942,3,USPS,1Z403AA101684608,2023-09-11 01:25:00,2023-09-16 01:25:00,,8.38,9.1,In Transit
7082,7750,4,DHL,1Z385AA177523979,2023-07-09 19:33:00,2023-07-14 19:33:00,2023-07-15 19:33:00,8.71,7.41,Delivered
7083,46963,4,UPS,1Z014AA806035661,2023-02-03 21:25:00,2023-02-09 21:25:00,,16.58,17.85,In Transit
7084,17507,4,OnTrac,1Z971AA959270777,2024-12-22 02:40:00,2024-12-27 02:40:00,,22.93,18.35,Returned
7085,32895,2,DHL,1Z104AA777014092,2024-12-29 11:07:00,2025-01-03 11:07:00,,24.4,3.61,Returned
7086,48267,2,UPS,1Z901AA151493220,2024-02-17 01:09:00,2024-02-21 01:09:00,2024-02-21 01:09:00,8.69,24.68,Delivered
7087,13687,1,UPS,1Z387AA998773443,2024-11-26 22:18:00,2024-11-29 22:18:00,2024-11-28 22:18:00,20.59,17.4,Delivered
7088,51829,5,OnTrac,1Z729AA588293068,2024-12-03 08:40:00,2024-12-08 08:40:00,2024-12-10 08:40:00,18.41,8.06,Delivered
7089,32586,4,USPS,1Z860AA401084560,2024-07-11 11:30:00,2024-07-13 11:30:00,,16.93,8.69,Returned
7090,49929,2,OnTrac,1Z549AA931759945,2024-09-20 15:17:00,2024-09-26 15:17:00,2024-09-26 15:17:00,19.77,14.3,Delivered
7091,18344,5,UPS,1Z917AA397430349,2023-09-10 21:36:00,2023-09-13 21:36:00,2023-09-15 21:36:00,13.11,8.61,Delivered
7092,10360,4,OnTrac,1Z842AA078747712,2024-10-03 11:44:00,2024-10-06 11:44:00,,11.62,13.5,Returned
7093,22735,3,USPS,1Z289AA742569659,2023-10-22 14:16:00,2023-10-25 14:16:00,2023-10-26 14:16:00,5.59,19.71,Delivered
7094,18659,1,UPS,1Z949AA520330833,2024-10-12 06:52:00,2024-10-19 06:52:00,,18.45,23.27,Returned
7095,14863,2,UPS,1Z636AA349343759,2023-12-18 12:30:00,2023-12-22 12:30:00,,24.93,22.67,In Transit
7096,46238,1,UPS,1Z358AA153872199,2024-12-23 21:01:00,2024-12-30 21:01:00,2024-12-30 21:01:00,20.8,6.57,Delivered
7097,30873,3,FedEx,1Z560AA674187474,2023-12-07 16:51:00,2023-12-09 16:51:00,2023-12-12 16:51:00,21.95,5.84,Delivered
7098,9641,5,FedEx,1Z946AA522084578,2023-05-17 21:36:00,2023-05-21 21:36:00,2023-05-23 21:36:00,7.3,13.13,Delivered
7099,32974,5,OnTrac,1Z570AA437186764,2024-12-10 14:08:00,2024-12-12 14:08:00,2024-12-14 14:08:00,19.6,8.5,Delivered
7100,6721,3,USPS,1Z385AA184247023,2024-03-06 00:32:00,2024-03-08 00:32:00,2024-03-07 00:32:00,9.87,0.58,Delivered
7101,22201,5,UPS,1Z817AA218562434,2023-08-04 04:56:00,2023-08-09 04:56:00,2023-08-10 04:56:00,7.33,5.47,Delivered
7102,34383,1,FedEx,1Z713AA090630996,2024-11-04 17:36:00,2024-11-08 17:36:00,,4.13,2.47,In Transit
7103,45207,3,UPS,1Z957AA742127013,2023-02-14 20:46:00,2023-02-17 20:46:00,,15.17,11.19,Returned
7104,12934,2,UPS,1Z922AA111948832,2023-07-23 12:35:00,2023-07-25 12:35:00,2023-07-25 12:35:00,4.03,2.98,Delivered
7105,10868,5,USPS,1Z225AA866792503,2023-11-08 00:40:00,2023-11-15 00:40:00,2023-11-16 00:40:00,5.79,21.92,Delivered
7106,4697,3,DHL,1Z150AA639284352,2024-10-09 02:34:00,2024-10-14 02:34:00,2024-10-15 02:34:00,9.74,8.02,Delivered
7107,35309,4,USPS,1Z790AA301437004,2023-04-25 08:56:00,2023-04-27 08:56:00,2023-04-28 08:56:00,15.16,2.45,Delivered
7108,16058,4,FedEx,1Z285AA520024186,2024-07-23 03:52:00,2024-07-26 03:52:00,2024-07-29 03:52:00,7.74,21.31,Delivered
7109,19269,5,DHL,1Z579AA301385286,2023-05-28 23:10:00,2023-05-30 23:10:00,2023-06-02 23:10:00,24.75,22.25,Delivered
7110,23318,3,OnTrac,1Z080AA412486363,2024-09-05 17:21:00,2024-09-09 17:21:00,,21.03,4.15,In Transit
7111,3306,4,FedEx,1Z617AA064416759,2024-12-18 02:31:00,2024-12-23 02:31:00,2024-12-23 02:31:00,15.42,22.04,Delivered
7112,18786,1,DHL,1Z784AA005483346,2024-02-04 00:36:00,2024-02-11 00:36:00,2024-02-13 00:36:00,23.77,18.48,Delivered
7113,14465,1,FedEx,1Z805AA949308788,2024-11-25 02:38:00,2024-12-01 02:38:00,2024-12-02 02:38:00,4.97,11.15,Delivered
7114,38367,3,UPS,1Z714AA131263526,2023-11-23 20:45:00,2023-11-28 20:45:00,2023-11-28 20:45:00,24.84,10.76,Delivered
7115,5716,2,OnTrac,1Z890AA186086388,2024-07-25 13:14:00,2024-07-28 13:14:00,2024-07-31 13:14:00,4.01,19.2,Delivered
7116,4383,4,FedEx,1Z681AA384125197,2024-11-07 09:35:00,2024-11-10 09:35:00,,11.96,18.15,In Transit
7117,16885,4,DHL,1Z919AA630940317,2023-10-22 03:00:00,2023-10-28 03:00:00,,6.56,8.95,In Transit
7118,23384,5,OnTrac,1Z679AA494078060,2024-12-06 10:28:00,2024-12-09 10:28:00,2024-12-11 10:28:00,23.6,8.58,Delivered
7119,45997,5,UPS,1Z717AA739554029,2023-07-24 04:47:00,2023-07-29 04:47:00,,15.43,4.91,In Transit
7120,40046,5,USPS,1Z519AA958061361,2023-10-13 09:52:00,2023-10-19 09:52:00,,22.86,19.02,In Transit
7121,42812,5,UPS,1Z635AA534528457,2024-06-14 14:01:00,2024-06-19 14:01:00,,10.99,17.18,In Transit
7122,27285,1,OnTrac,1Z338AA160795319,2023-05-07 03:47:00,2023-05-10 03:47:00,2023-05-13 03:47:00,23.13,2.96,Delivered
7123,33738,1,DHL,1Z925AA603175379,2023-01-17 17:05:00,2023-01-20 17:05:00,2023-01-21 17:05:00,24.66,1.34,Delivered
7124,3709,3,UPS,1Z317AA415223613,2023-04-21 09:04:00,2023-04-24 09:04:00,,18.77,1.92,In Transit
7125,49563,1,FedEx,1Z602AA647780648,2024-07-25 18:15:00,2024-08-01 18:15:00,,21.15,13.74,In Transit
7126,23848,3,UPS,1Z632AA252732161,2023-02-06 16:55:00,2023-02-12 16:55:00,2023-02-15 16:55:00,5.78,6.69,Delivered
7127,20253,1,OnTrac,1Z421AA346423109,2024-11-23 15:39:00,2024-11-28 15:39:00,,9.79,13.14,In Transit
7128,34455,1,USPS,1Z499AA634652612,2023-06-12 07:32:00,2023-06-18 07:32:00,2023-06-18 07:32:00,22.92,19.03,Delivered
7129,26136,5,UPS,1Z577AA766393382,2023-07-11 19:22:00,2023-07-17 19:22:00,2023-07-17 19:22:00,18.14,16.49,Delivered
7130,18904,1,FedEx,1Z877AA903398804,2023-04-18 06:29:00,2023-04-22 06:29:00,2023-04-22 06:29:00,14.99,16.38,Delivered
7131,11446,4,UPS,1Z680AA885318434,2024-02-10 07:33:00,2024-02-13 07:33:00,,21.1,1.92,In Transit
7132,6056,5,OnTrac,1Z322AA292163164,2024-11-09 18:57:00,2024-11-11 18:57:00,2024-11-10 18:57:00,8.23,7.07,Delivered
7133,16517,4,OnTrac,1Z801AA570284780,2024-07-04 11:59:00,2024-07-10 11:59:00,2024-07-11 11:59:00,23.86,17.58,Delivered
7134,23619,3,OnTrac,1Z477AA306130217,2023-12-21 05:34:00,2023-12-26 05:34:00,,16.8,17.52,In Transit
7135,51568,3,DHL,1Z706AA109641745,2024-05-18 02:43:00,2024-05-22 02:43:00,2024-05-25 02:43:00,17.6,5.11,Delivered
7136,5292,2,OnTrac,1Z082AA769489115,2023-08-09 06:57:00,2023-08-11 06:57:00,2023-08-12 06:57:00,8.49,7.41,Delivered
7137,50380,1,OnTrac,1Z480AA883713719,2024-09-15 21:34:00,2024-09-18 21:34:00,,5.52,24.99,Returned
7138,25575,2,UPS,1Z450AA251150928,2023-11-07 16:50:00,2023-11-14 16:50:00,,4.42,15.89,In Transit
7139,15080,3,UPS,1Z918AA997938660,2024-12-27 12:19:00,2024-12-31 12:19:00,,18.29,9.96,In Transit
7140,35663,5,OnTrac,1Z140AA318366714,2023-12-03 05:08:00,2023-12-09 05:08:00,,11.88,15.55,Returned
7141,28414,1,OnTrac,1Z892AA787693581,2024-06-27 20:07:00,2024-06-29 20:07:00,,9.63,17.28,In Transit
7142,21753,5,FedEx,1Z919AA538357199,2023-11-29 04:14:00,2023-12-01 04:14:00,,22.56,18.41,In Transit
7143,6886,3,OnTrac,1Z998AA018916089,2023-01-19 21:02:00,2023-01-22 21:02:00,2023-01-25 21:02:00,24.4,10.6,Delivered
7144,22175,2,FedEx,1Z428AA597972390,2024-11-26 11:01:00,2024-12-03 11:01:00,,15.58,22.83,Returned
7145,46336,2,OnTrac,1Z726AA447346942,2023-11-03 07:09:00,2023-11-07 07:09:00,,13.52,22.21,Returned
7146,45038,2,UPS,1Z247AA867277794,2024-12-12 21:48:00,2024-12-18 21:48:00,2024-12-18 21:48:00,24.36,15.01,Delivered
7147,36855,3,USPS,1Z413AA239273964,2023-10-08 03:20:00,2023-10-13 03:20:00,,5.06,20.35,In Transit
7148,12953,3,UPS,1Z895AA845686351,2023-11-14 10:56:00,2023-11-21 10:56:00,,18.81,12.5,Returned
7149,41915,2,USPS,1Z260AA990356960,2024-06-19 15:01:00,2024-06-23 15:01:00,,21.19,15.29,Returned
7150,11790,3,UPS,1Z541AA405846650,2024-11-19 13:12:00,2024-11-23 13:12:00,,6.41,2.82,Returned
7151,8790,4,OnTrac,1Z445AA814341196,2023-12-03 05:47:00,2023-12-09 05:47:00,2023-12-09 05:47:00,6.45,4.59,Delivered
7152,12311,4,USPS,1Z666AA045002402,2023-11-05 07:42:00,2023-11-09 07:42:00,2023-11-08 07:42:00,12.56,24.28,Delivered
7153,45119,4,UPS,1Z023AA230087045,2024-07-03 01:34:00,2024-07-10 01:34:00,2024-07-11 01:34:00,23.42,4.89,Delivered
7154,28521,1,FedEx,1Z365AA734018723,2024-04-18 08:22:00,2024-04-25 08:22:00,2024-04-28 08:22:00,9.29,21.66,Delivered
7155,51220,2,DHL,1Z348AA221472271,2024-10-10 10:48:00,2024-10-14 10:48:00,,16.78,18.69,In Transit
7156,14790,1,FedEx,1Z102AA316733990,2024-07-25 13:51:00,2024-07-29 13:51:00,2024-07-29 13:51:00,7.43,13.98,Delivered
7157,43252,2,DHL,1Z363AA221368380,2023-12-28 22:03:00,2024-01-02 22:03:00,2024-01-03 22:03:00,22.16,10.16,Delivered
7158,13726,3,UPS,1Z984AA019617922,2023-03-15 21:43:00,2023-03-19 21:43:00,2023-03-20 21:43:00,15.39,24.96,Delivered
7159,27570,4,FedEx,1Z411AA953124641,2024-12-16 17:43:00,2024-12-20 17:43:00,2024-12-23 17:43:00,4.96,2.06,Delivered
7160,21685,1,UPS,1Z208AA379005294,2023-05-09 17:12:00,2023-05-14 17:12:00,2023-05-13 17:12:00,17.46,23.88,Delivered
7161,17795,4,UPS,1Z547AA374111382,2023-09-13 16:55:00,2023-09-15 16:55:00,2023-09-18 16:55:00,14.86,18.9,Delivered
7162,27704,5,OnTrac,1Z568AA359565488,2024-12-06 22:42:00,2024-12-08 22:42:00,,12.79,23.58,In Transit
7163,11030,3,FedEx,1Z612AA774014717,2023-08-09 08:33:00,2023-08-11 08:33:00,2023-08-12 08:33:00,12.83,14.26,Delivered
7164,10348,3,USPS,1Z860AA991434040,2023-09-10 06:56:00,2023-09-13 06:56:00,,17.3,18.4,In Transit
7165,16485,2,FedEx,1Z388AA998189540,2023-03-28 00:36:00,2023-03-31 00:36:00,,23.75,15.99,In Transit
7166,36390,4,FedEx,1Z896AA875488994,2023-03-09 13:38:00,2023-03-12 13:38:00,,4.78,5.92,In Transit
7167,16265,1,OnTrac,1Z504AA228398597,2023-10-22 21:22:00,2023-10-27 21:22:00,2023-10-30 21:22:00,10.19,18.2,Delivered
7168,18940,3,OnTrac,1Z327AA717163597,2024-12-03 09:52:00,2024-12-09 09:52:00,2024-12-09 09:52:00,18.79,0.83,Delivered
7169,18725,3,FedEx,1Z751AA587144077,2024-06-04 07:35:00,2024-06-09 07:35:00,,24.02,17.14,In Transit
7170,31853,1,DHL,1Z363AA300962899,2023-07-21 01:17:00,2023-07-26 01:17:00,,14.43,22.97,In Transit
7171,5764,5,OnTrac,1Z205AA156998024,2024-06-22 22:36:00,2024-06-29 22:36:00,,14.98,3.48,Returned
7172,28474,4,UPS,1Z178AA830693447,2024-06-06 15:18:00,2024-06-08 15:18:00,2024-06-08 15:18:00,15.92,2.38,Delivered
7173,19707,1,UPS,1Z962AA834702337,2024-11-15 03:26:00,2024-11-20 03:26:00,,14.81,20.97,In Transit
7174,31638,3,OnTrac,1Z491AA789786461,2023-04-04 15:22:00,2023-04-09 15:22:00,,9.39,8.09,Returned
7175,44583,3,UPS,1Z931AA312247156,2024-12-10 02:49:00,2024-12-16 02:49:00,2024-12-17 02:49:00,7.86,20.68,Delivered
7176,18733,4,OnTrac,1Z016AA509725333,2023-12-07 19:11:00,2023-12-14 19:11:00,,17.66,10.23,Returned
7177,12054,2,USPS,1Z050AA222332832,2024-08-30 06:03:00,2024-09-01 06:03:00,2024-08-31 06:03:00,20.96,7.29,Delivered
7178,48087,1,USPS,1Z871AA883184679,2024-06-06 02:44:00,2024-06-08 02:44:00,2024-06-09 02:44:00,22.27,7.09,Delivered
7179,51068,4,FedEx,1Z413AA277352829,2023-12-25 01:20:00,2023-12-31 01:20:00,2024-01-03 01:20:00,19.73,10.51,Delivered
7180,23555,2,OnTrac,1Z176AA781114521,2024-09-15 00:35:00,2024-09-21 00:35:00,,24.17,22.71,In Transit
7181,9448,3,FedEx,1Z317AA875658639,2024-12-15 14:20:00,2024-12-22 14:20:00,2024-12-21 14:20:00,4.08,19.57,Delivered
7182,34593,4,DHL,1Z936AA390826784,2024-06-25 20:56:00,2024-06-28 20:56:00,2024-07-01 20:56:00,21.95,13.27,Delivered
7183,30214,1,DHL,1Z210AA622885581,2023-03-24 10:55:00,2023-03-31 10:55:00,2023-03-30 10:55:00,19.13,13.34,Delivered
7184,21980,3,FedEx,1Z195AA978759827,2023-05-08 20:44:00,2023-05-12 20:44:00,2023-05-14 20:44:00,24.79,19.85,Delivered
7185,23459,4,DHL,1Z926AA900638322,2023-09-05 07:12:00,2023-09-11 07:12:00,,10.94,12.6,Returned
7186,39715,5,OnTrac,1Z438AA379665549,2024-04-04 04:53:00,2024-04-11 04:53:00,2024-04-10 04:53:00,7.02,8.79,Delivered
7187,4656,5,UPS,1Z721AA176300329,2023-09-14 03:00:00,2023-09-18 03:00:00,,12.48,12.36,In Transit
7188,36972,1,UPS,1Z560AA557479212,2024-10-17 09:43:00,2024-10-20 09:43:00,,9.49,1.69,In Transit
7189,4062,5,FedEx,1Z985AA930207728,2024-02-28 11:26:00,2024-03-06 11:26:00,,14.73,3.33,Returned
7190,6165,5,FedEx,1Z995AA972928816,2024-12-10 23:28:00,2024-12-15 23:28:00,2024-12-15 23:28:00,23.16,14.93,Delivered
7191,37566,2,DHL,1Z106AA622080691,2024-07-11 20:09:00,2024-07-17 20:09:00,,11.5,17.14,In Transit
7192,30404,4,OnTrac,1Z950AA421179886,2023-11-25 01:21:00,2023-11-30 01:21:00,,5.14,2.02,In Transit
7193,8880,1,UPS,1Z479AA402377183,2023-11-14 19:16:00,2023-11-21 19:16:00,2023-11-22 19:16:00,12.48,22.26,Delivered
7194,15973,3,DHL,1Z567AA801606508,2023-09-15 19:55:00,2023-09-18 19:55:00,2023-09-17 19:55:00,24.57,21.19,Delivered
7195,14751,5,DHL,1Z145AA100008362,2023-06-27 22:10:00,2023-06-30 22:10:00,2023-07-02 22:10:00,22.47,4.31,Delivered
7196,41469,3,DHL,1Z892AA688792832,2023-09-27 11:14:00,2023-10-02 11:14:00,2023-10-01 11:14:00,9.06,1.67,Delivered
7197,33406,1,FedEx,1Z397AA650838477,2024-11-28 03:02:00,2024-12-04 03:02:00,,23.17,2.06,In Transit
7198,30843,3,FedEx,1Z792AA442740889,2023-12-06 08:38:00,2023-12-13 08:38:00,2023-12-12 08:38:00,19.09,22.22,Delivered
7199,29143,4,DHL,1Z853AA209633505,2024-12-27 04:56:00,2024-12-29 04:56:00,,18.74,0.67,In Transit
7200,16524,5,DHL,1Z870AA206794437,2023-07-30 03:35:00,2023-08-02 03:35:00,2023-08-01 03:35:00,11.16,6.06,Delivered
