transaction_id,order_id,payment_method,payment_provider,transaction_date,amount,currency,status,card_last_four,authorization_code,processing_fee
8104,3104,Credit Card,Stripe,2024-12-15 12:06:00,168.78,USD,Completed,5376,AUTH798517,5.5
8105,3105,Debit Card,Square,2024-04-05 07:43:00,414.07,USD,Completed,4551,AUTH107180,9.07
8106,3106,Credit Card,Stripe,2024-12-20 22:55:00,2555.02,USD,Completed,9287,AUTH771429,47.51
8107,3107,PayPal,PayPal,2024-01-24 15:39:00,42.21,USD,Completed,,AUTH488906,0.99
8108,3108,Debit Card,Square,2023-10-07 10:22:00,10242.89,USD,Completed,2163,AUTH618283,265.59
8109,3109,Credit Card,Stripe,2024-05-24 20:18:00,1397.4,USD,Refunded,7531,AUTH529034,27.37
8110,3110,Debit Card,Square,2023-12-04 20:15:00,4590.28,USD,Completed,5099,AUTH208803,113.61
8111,3111,Credit Card,Stripe,2024-11-15 16:43:00,395.41,USD,Completed,4439,AUTH692692,6.05
8112,3112,Debit Card,Square,2024-09-01 09:47:00,809.61,USD,Completed,3188,AUTH518315,21.95
8113,3113,Credit Card,Stripe,2023-11-09 17:54:00,5837.88,USD,Completed,2206,AUTH520290,103.82
8114,3114,PayPal,PayPal,2023-10-13 16:53:00,2251.6,USD,Completed,,AUTH381526,53.24
8115,3115,Apple Pay,Apple,2024-07-04 11:18:00,645.7,USD,Completed,,AUTH824544,13.41
8116,3116,Debit Card,Square,2023-09-05 07:36:00,1058.16,USD,Completed,3790,AUTH657284,21.04
8117,3117,Credit Card,Stripe,2023-09-15 19:00:00,1730.96,USD,Completed,6187,AUTH627785,42.73
8118,3118,Credit Card,Stripe,2023-10-14 15:52:00,977.21,USD,Completed,9655,AUTH423290,16.14
8119,3119,Google Pay,Google,2023-07-16 17:47:00,6862.34,USD,Completed,,AUTH508204,170.33
8120,3120,Credit Card,Stripe,2023-09-19 21:13:00,9729.78,USD,Completed,3603,AUTH169070,272.84
8121,3121,Credit Card,Stripe,2024-09-04 19:20:00,544.18,USD,Completed,8660,AUTH562462,15.01
8122,3122,Credit Card,Stripe,2024-09-02 15:53:00,461.06,USD,Refunded,9760,AUTH870031,12.69
8123,3123,Bank Transfer,ACH,2024-11-21 20:46:00,3109.94,USD,Completed,,AUTH801294,60.43
8124,3124,Credit Card,Stripe,2023-09-13 15:52:00,688.88,USD,Completed,7519,AUTH962631,16.8
8125,3125,Credit Card,Stripe,2023-11-01 19:25:00,4458.18,USD,Completed,2036,AUTH617004,112.87
8126,3126,Debit Card,Square,2023-06-26 10:58:00,65.31,USD,Completed,4073,AUTH941961,1.01
8127,3127,Debit Card,Square,2023-07-14 16:45:00,1378.73,USD,Completed,6976,AUTH513750,31.42
8128,3128,Debit Card,Square,2023-06-12 15:08:00,296.88,USD,Completed,5230,AUTH693778,6.96
8129,3129,Credit Card,Stripe,2024-12-24 07:26:00,103.1,USD,Completed,7163,AUTH404632,1.75
8130,3130,Apple Pay,Apple,2023-09-13 21:59:00,5683.6,USD,Completed,,AUTH695601,103.43
8131,3131,Credit Card,Stripe,2024-04-10 17:13:00,295.21,USD,Completed,4673,AUTH753966,8.66
8132,3132,Debit Card,Square,2023-11-24 10:02:00,365.28,USD,Completed,7648,AUTH965195,9.82
8133,3133,Apple Pay,Apple,2023-05-23 19:51:00,291.0,USD,Completed,,AUTH973385,5.82
8134,3134,Debit Card,Square,2024-09-15 18:02:00,5047.79,USD,Completed,2452,AUTH999025,110.39
8135,3135,Apple Pay,Apple,2024-07-02 20:11:00,13.52,USD,Refunded,,AUTH368566,0.42
8136,3136,Google Pay,Google,2024-06-19 11:13:00,444.08,USD,Completed,,AUTH888219,14.35
8137,3137,Google Pay,Google,2023-11-24 07:51:00,4356.04,USD,Completed,,AUTH203546,136.17
8138,3138,Debit Card,Square,2023-01-20 22:16:00,1178.27,USD,Completed,6583,AUTH802634,40.71
8139,3139,Credit Card,Stripe,2024-04-15 22:54:00,2183.41,USD,Completed,1563,AUTH866310,45.91
8140,3140,Credit Card,Stripe,2024-12-14 13:09:00,857.59,USD,Completed,9666,AUTH862375,19.68
8141,3141,Debit Card,Square,2023-06-18 09:12:00,741.73,USD,Completed,9755,AUTH555975,20.51
8142,3142,Credit Card,Stripe,2023-11-25 15:31:00,1567.45,USD,Completed,4508,AUTH695147,51.49
8143,3143,Debit Card,Square,2024-01-04 08:44:00,2639.43,USD,Completed,9746,AUTH905952,41.1
8144,3144,Credit Card,Stripe,2024-04-20 12:03:00,9770.37,USD,Completed,2795,AUTH910653,206.07
8145,3145,PayPal,PayPal,2023-12-14 08:09:00,838.95,USD,Completed,,AUTH555515,27.41
8146,3146,PayPal,PayPal,2024-07-12 21:21:00,5481.49,USD,Refunded,,AUTH978967,126.93
8147,3147,Debit Card,Square,2024-09-03 14:17:00,63.8,USD,Completed,3263,AUTH693811,1.13
8148,3148,Bank Transfer,ACH,2024-08-24 19:00:00,150.37,USD,Completed,,AUTH142932,3.25
8149,3149,Bank Transfer,ACH,2023-08-08 09:16:00,7799.86,USD,Completed,,AUTH660049,257.16
8150,3150,PayPal,PayPal,2023-08-05 17:52:00,3036.42,USD,Completed,,AUTH361458,81.02
8151,3151,Google Pay,Google,2024-10-24 11:41:00,729.48,USD,Completed,,AUTH530775,22.39
8152,3152,Credit Card,Stripe,2024-10-13 20:29:00,1037.22,USD,Completed,5612,AUTH288154,15.64
8153,3153,PayPal,PayPal,2024-11-03 17:05:00,9161.96,USD,Completed,,AUTH683371,282.54
8154,3154,Credit Card,Stripe,2024-10-24 22:26:00,2122.93,USD,Completed,6888,AUTH132988,66.24
8155,3155,Bank Transfer,ACH,2024-10-01 21:12:00,5363.19,USD,Completed,,AUTH466458,180.1
8156,3156,PayPal,PayPal,2023-09-09 11:44:00,430.3,USD,Completed,,AUTH661328,10.89
8157,3157,Bank Transfer,ACH,2024-12-11 09:08:00,1689.75,USD,Completed,,AUTH999988,59.12
8158,3158,PayPal,PayPal,2023-04-06 22:21:00,1334.76,USD,Completed,,AUTH583128,36.93
8159,3159,Google Pay,Google,2023-11-09 12:54:00,7050.88,USD,Completed,,AUTH514527,240.28
8160,3160,PayPal,PayPal,2024-01-11 07:57:00,218.51,USD,Completed,,AUTH124935,5.62
8161,3161,Apple Pay,Apple,2023-09-21 21:27:00,2944.8,USD,Refunded,,AUTH654825,89.69
8162,3162,Credit Card,Stripe,2024-12-12 20:01:00,1806.02,USD,Refunded,7599,AUTH626372,49.29
8163,3163,Credit Card,Stripe,2023-12-28 08:06:00,1827.62,USD,Completed,9986,AUTH602094,61.36
8164,3164,Apple Pay,Apple,2023-07-01 11:07:00,7840.88,USD,Completed,,AUTH210514,132.38
8165,3165,PayPal,PayPal,2024-09-14 17:53:00,1314.78,USD,Completed,,AUTH479929,33.71
8166,3166,Debit Card,Square,2023-10-28 12:55:00,1997.49,USD,Refunded,2166,AUTH153807,66.73
8167,3167,Credit Card,Stripe,2023-09-15 20:18:00,7365.04,USD,Completed,7324,AUTH746806,169.15
8168,3168,Google Pay,Google,2024-11-04 22:16:00,1946.69,USD,Completed,,AUTH905638,30.69
8169,3169,Credit Card,Stripe,2023-05-25 20:43:00,7780.44,USD,Completed,4106,AUTH663158,214.85
8170,3170,PayPal,PayPal,2023-08-23 14:41:00,1298.24,USD,Completed,,AUTH741249,30.59
8171,3171,Apple Pay,Apple,2023-10-07 13:40:00,5437.11,USD,Failed,,AUTH231671,176.56
8172,3172,Credit Card,Stripe,2023-08-10 11:26:00,6543.82,USD,Completed,1872,AUTH426021,111.65
8173,3173,Credit Card,Stripe,2023-11-27 21:37:00,1130.75,USD,Completed,1632,AUTH838705,39.3
8174,3174,PayPal,PayPal,2024-08-11 20:38:00,3270.36,USD,Completed,,AUTH705526,74.43
8175,3175,Apple Pay,Apple,2023-03-24 07:30:00,2287.44,USD,Completed,,AUTH128518,63.0
8176,3176,Debit Card,Square,2024-03-04 11:44:00,385.64,USD,Completed,2434,AUTH525978,11.93
8177,3177,Bank Transfer,ACH,2024-06-04 13:27:00,813.84,USD,Refunded,,AUTH411248,19.21
8178,3178,Google Pay,Google,2023-08-01 19:47:00,6082.77,USD,Completed,,AUTH998700,139.58
8179,3179,Debit Card,Square,2023-04-12 18:57:00,1393.09,USD,Completed,4042,AUTH405583,46.6
8180,3180,PayPal,PayPal,2023-10-18 22:27:00,1048.57,USD,Completed,,AUTH720083,28.3
8181,3181,PayPal,PayPal,2024-01-09 15:09:00,8691.13,USD,Completed,,AUTH748648,249.84
8182,3182,Google Pay,Google,2024-12-02 18:57:00,545.92,USD,Completed,,AUTH637924,16.25
8183,3183,Bank Transfer,ACH,2023-08-14 16:22:00,26.66,USD,Completed,,AUTH414625,0.62
8184,3184,PayPal,PayPal,2024-09-08 08:23:00,8210.32,USD,Completed,,AUTH977104,207.16
8185,3185,Credit Card,Stripe,2023-10-04 08:03:00,43.56,USD,Completed,2716,AUTH665024,0.78
8186,3186,Debit Card,Square,2024-08-06 17:13:00,2072.52,USD,Completed,2564,AUTH329333,52.27
8187,3187,PayPal,PayPal,2023-05-20 20:53:00,491.32,USD,Completed,,AUTH741225,10.93
8188,3188,Credit Card,Stripe,2023-12-16 20:14:00,8.06,USD,Completed,7288,AUTH647296,0.25
8189,3189,Debit Card,Square,2024-06-24 10:42:00,15388.94,USD,Completed,8534,AUTH920638,393.25
8190,3190,Credit Card,Stripe,2023-08-17 09:36:00,2811.31,USD,Completed,1698,AUTH930423,81.51
8191,3191,Credit Card,Stripe,2023-10-28 13:03:00,57.19,USD,Completed,2252,AUTH486487,1.62
8192,3192,PayPal,PayPal,2023-12-22 12:44:00,5396.53,USD,Completed,,AUTH944916,89.05
8193,3193,Google Pay,Google,2023-12-12 09:30:00,1279.69,USD,Completed,,AUTH257833,40.61
8194,3194,Credit Card,Stripe,2023-10-25 10:05:00,5204.36,USD,Completed,5338,AUTH983794,96.54
8195,3195,Apple Pay,Apple,2024-02-23 16:34:00,2264.57,USD,Completed,,AUTH474659,47.34
8196,3196,Credit Card,Stripe,2023-12-26 22:48:00,2784.66,USD,Refunded,3577,AUTH398507,82.37
8197,3197,Credit Card,Stripe,2024-12-11 12:20:00,202.98,USD,Completed,9297,AUTH383766,4.52
8198,3198,Credit Card,Stripe,2024-11-19 14:54:00,15.03,USD,Completed,9870,AUTH882044,0.3
8199,3199,Credit Card,Stripe,2023-11-17 10:34:00,5511.63,USD,Completed,8401,AUTH390999,122.32
8200,3200,Google Pay,Google,2023-12-09 22:07:00,2226.84,USD,Completed,,AUTH983867,56.08
8201,3201,Apple Pay,Apple,2023-09-11 09:18:00,1691.4,USD,Refunded,,AUTH967260,50.5
8202,3202,Credit Card,Stripe,2024-12-12 17:57:00,1805.83,USD,Completed,5815,AUTH910822,47.96
8203,3203,Debit Card,Square,2024-07-06 21:19:00,90.68,USD,Completed,1186,AUTH808366,2.63
8204,3204,PayPal,PayPal,2024-11-10 11:40:00,5589.81,USD,Completed,,AUTH552571,182.03
8205,3205,Debit Card,Square,2023-03-19 08:25:00,1332.15,USD,Failed,5284,AUTH144629,30.92
8206,3206,Credit Card,Stripe,2024-12-17 17:02:00,491.79,USD,Refunded,2808,AUTH809118,14.3
8207,3207,Credit Card,Stripe,2024-07-04 19:58:00,4791.0,USD,Completed,3810,AUTH365366,125.41
8208,3208,PayPal,PayPal,2024-07-10 09:34:00,955.4,USD,Completed,,AUTH653550,27.45
8209,3209,Bank Transfer,ACH,2024-09-04 09:35:00,7685.5,USD,Completed,,AUTH291344,203.88
8210,3210,Bank Transfer,ACH,2023-11-20 12:30:00,1398.89,USD,Completed,,AUTH336696,41.21
8211,3211,Apple Pay,Apple,2023-11-19 16:03:00,17.64,USD,Failed,,AUTH352773,0.37
8212,3212,Bank Transfer,ACH,2023-11-11 19:14:00,3971.72,USD,Completed,,AUTH828018,119.58
8213,3213,Google Pay,Google,2024-11-10 10:05:00,2862.66,USD,Completed,,AUTH969397,55.73
8214,3214,Debit Card,Square,2023-11-20 14:01:00,5598.46,USD,Completed,3748,AUTH807463,93.51
8215,3215,PayPal,PayPal,2024-08-23 13:15:00,1250.83,USD,Failed,,AUTH470781,18.82
8216,3216,PayPal,PayPal,2023-09-20 19:14:00,5378.28,USD,Completed,,AUTH122152,93.0
8217,3217,Bank Transfer,ACH,2023-05-09 09:55:00,3393.34,USD,Completed,,AUTH860859,58.42
8218,3218,PayPal,PayPal,2023-10-02 21:34:00,3922.08,USD,Completed,,AUTH630552,78.68
8219,3219,PayPal,PayPal,2024-05-16 21:29:00,564.62,USD,Completed,,AUTH992614,10.39
8220,3220,Credit Card,Stripe,2023-06-24 16:51:00,405.96,USD,Completed,9616,AUTH325113,6.7
8221,3221,Credit Card,Stripe,2024-07-09 15:57:00,195.66,USD,Refunded,7417,AUTH218884,3.09
8222,3222,Credit Card,Stripe,2024-05-06 19:10:00,5193.38,USD,Completed,5709,AUTH563994,180.24
8223,3223,Google Pay,Google,2023-05-26 14:25:00,3390.25,USD,Completed,,AUTH806689,99.06
8224,3224,Bank Transfer,ACH,2023-11-23 21:44:00,2758.12,USD,Completed,,AUTH840320,42.46
8225,3225,Credit Card,Stripe,2024-05-22 18:43:00,86.7,USD,Completed,7035,AUTH899684,2.13
8226,3226,Debit Card,Square,2024-06-05 22:54:00,4527.19,USD,Completed,1842,AUTH754878,133.98
8227,3227,Debit Card,Square,2023-09-04 21:49:00,21.27,USD,Completed,9247,AUTH493622,0.42
8228,3228,Debit Card,Square,2024-11-05 16:38:00,1276.04,USD,Completed,8164,AUTH890432,27.64
8229,3229,Credit Card,Stripe,2023-03-27 08:40:00,4255.84,USD,Completed,6996,AUTH826606,84.62
8230,3230,Apple Pay,Apple,2024-07-22 15:20:00,3326.11,USD,Refunded,,AUTH321152,106.07
8231,3231,PayPal,PayPal,2023-10-26 17:01:00,485.16,USD,Completed,,AUTH842377,12.06
8232,3232,Apple Pay,Apple,2024-07-18 19:53:00,164.72,USD,Completed,,AUTH471154,4.61
8233,3233,Google Pay,Google,2024-08-06 14:13:00,1642.28,USD,Completed,,AUTH716320,47.4
8234,3234,Bank Transfer,ACH,2023-11-23 15:27:00,388.9,USD,Completed,,AUTH777510,7.25
8235,3235,Debit Card,Square,2024-03-06 11:16:00,3784.88,USD,Completed,1446,AUTH879621,87.55
8236,3236,Credit Card,Stripe,2024-11-21 16:10:00,1571.74,USD,Completed,6744,AUTH862226,25.49
8237,3237,Apple Pay,Apple,2023-07-11 14:13:00,159.76,USD,Completed,,AUTH955508,3.07
8238,3238,Credit Card,Stripe,2023-08-25 12:16:00,337.92,USD,Completed,2209,AUTH408332,5.2
8239,3239,Google Pay,Google,2023-10-26 20:25:00,67.67,USD,Completed,,AUTH469653,1.93
8240,3240,Debit Card,Square,2024-04-16 13:07:00,1634.8,USD,Completed,4519,AUTH262282,39.72
8241,3241,Debit Card,Square,2024-08-09 18:52:00,2134.95,USD,Completed,3275,AUTH707644,62.73
8242,3242,Bank Transfer,ACH,2023-09-17 17:47:00,10.93,USD,Completed,,AUTH529946,0.17
8243,3243,Apple Pay,Apple,2024-10-28 07:43:00,6058.47,USD,Completed,,AUTH323313,115.43
8244,3244,Credit Card,Stripe,2023-08-11 10:55:00,5975.72,USD,Completed,7696,AUTH241946,183.47
8245,3245,Google Pay,Google,2024-06-06 17:38:00,2903.85,USD,Completed,,AUTH912398,60.94
8246,3246,Credit Card,Stripe,2023-11-16 11:09:00,1926.99,USD,Completed,2816,AUTH218116,32.94
8247,3247,Credit Card,Stripe,2024-06-24 20:55:00,1828.56,USD,Completed,4514,AUTH163029,59.9
8248,3248,Debit Card,Square,2023-10-09 07:57:00,633.42,USD,Completed,2149,AUTH484044,21.57
8249,3249,Debit Card,Square,2023-11-06 22:59:00,8429.68,USD,Refunded,3935,AUTH472951,236.29
8250,3250,Credit Card,Stripe,2023-05-18 20:37:00,236.91,USD,Completed,8686,AUTH774455,7.17
8251,3251,Credit Card,Stripe,2023-07-16 16:09:00,9612.48,USD,Refunded,4291,AUTH163864,167.26
8252,3252,Debit Card,Square,2023-12-18 12:47:00,257.2,USD,Completed,2114,AUTH779562,5.97
8253,3253,Debit Card,Square,2023-12-02 21:18:00,498.02,USD,Completed,3427,AUTH521002,16.59
8254,3254,PayPal,PayPal,2023-04-09 07:49:00,2060.8,USD,Completed,,AUTH474887,40.05
8255,3255,Debit Card,Square,2023-10-24 17:08:00,2251.22,USD,Completed,9781,AUTH522018,51.69
8256,3256,Bank Transfer,ACH,2024-12-04 15:06:00,687.56,USD,Completed,,AUTH674822,20.79
8257,3257,Google Pay,Google,2024-07-22 08:57:00,933.35,USD,Completed,,AUTH694468,20.21
